ZIP DISEASE_ID COUNT
92647 OTH 47
91208 HTD 23
91204 HTD 36
95476 OTH 53
94558 INJ 33
95117 CAN 36
92345 CLD 43
95531 HTD 44
92114 CAN 101
92105 STK 22
95610 CAN 94
94549 OTH 40
95678 CAN 55
90032 HTD 77
93001 OTH 31
92057 CAN 94
91367 CAN 89
90057 HTD 74
92054 OTH 45
94303 CAN 43
93117 OTH 30
92114 CLD 25
94116 CAN 109
92105 HTD 84
94558 HTD 147
92308 CAN 69
92395 HTD 89
94510 CAN 47
91364 OTH 29
95661 CAN 53
95815 CLD 22
94115 STK 29
93313 HTD 43
91345 CAN 28
93442 OTH 20
91978 CAN 20
90037 CAN 80
91354 HTD 25
91345 CAN 28
93711 HTD 78
91770 STK 28
95350 INJ 24
92026 HTD 92
90069 OTH 37
92506 CAN 86
92356 HTD 27
95648 HTD 100
95618 CAN 27
92660 OTH 22
92103 OTH 53
94103 INJ 32
93240 HTD 52
95380 HTD 101
95037 OTH 34
92691 OTH 63
91765 CAN 60
95136 HTD 30
90813 HTD 81
90740 CLD 25
92708 STK 29
94089 HTD 22
92543 CLD 64
91010 CAN 38
93536 STK 23
95948 OTH 20
91744 CAN 98
92324 STK 20
95123 OTH 80
95437 HTD 34
95116 CAN 44
96080 OTH 43
92371 CAN 30
94903 HTD 78
93245 HTD 40
92801 DIA 23
91505 CAN 66
95822 OTH 106
93240 CAN 22
90247 PNF 20
91702 OTH 39
92114 OTH 80
99998 HTD 329
90706 STK 21
94703 CAN 36
94122 STK 28
93550 HTD 93
90402 HTD 23
90630 CAN 78
92392 HTD 80
94564 HTD 41
95148 OTH 23
94118 HTD 75
93291 HTD 57
91602 HTD 35
93311 CAN 25
95020 HTD 64
94109 PNF 25
92026 INJ 37
90255 OTH 45
91789 OTH 29
90210 CAN 47
93710 HTD 64
90255 DIA 20
90003 OTH 63
93535 HTD 98
94030 CAN 60
90047 HTD 136
93710 CAN 41
93221 CAN 26
95340 OTH 99
92040 CAN 84
92844 HTD 27
93012 CAN 69
95833 CAN 39
94510 CAN 41
91786 OTH 63
94127 HTD 49
90630 CAN 90
92562 STK 21
92129 OTH 36
94589 OTH 44
92867 OTH 44
94801 OTH 44
94561 HTD 39
93550 DIA 22
95130 CAN 28
91733 OTH 35
90240 CAN 40
93065 CAN 103
92780 HTD 67
94602 CAN 54
92705 STK 32
94611 HTD 64
93230 OTH 73
96001 STK 27
94112 CAN 122
92840 CAN 69
92691 HTD 108
94952 OTH 45
91977 HTD 102
92120 ALZ 22
90621 OTH 27
92708 STK 23
92570 OTH 53
94605 HTD 79
95205 HTD 43
94583 HTD 26
93307 CAN 93
92592 CAN 57
95973 CAN 69
90250 HTD 144
92277 CAN 33
94131 HTD 39
95124 STK 20
91801 PNF 20
91711 HTD 117
92019 HTD 94
95610 INJ 21
95355 CLD 30
92064 CAN 63
92107 OTH 27
94609 CAN 26
92118 CAN 39
94550 CLD 25
91403 CAN 47
93065 CLD 20
91755 HTD 33
93550 OTH 63
94544 HTD 82
96130 CAN 22
92336 HTD 58
93422 HTD 52
92843 CAN 45
92870 HTD 70
95747 STK 32
91335 STK 24
95618 HTD 24
92660 HTD 68
92270 CLD 22
95673 HTD 40
96150 CAN 25
92020 STK 45
92336 OTH 55
93706 CAN 61
95632 CAN 33
92509 HTD 144
92653 OTH 63
95602 HTD 41
90744 CAN 51
90275 CAN 101
92672 OTH 51
92648 INJ 24
92129 OTH 48
90504 CAN 54
95037 HTD 55
94599 CAN 27
95822 PNF 20
91803 OTH 28
93728 OTH 33
91784 CAN 33
92506 CAN 77
90265 CAN 35
92705 OTH 55
94301 HTD 30
95136 HTD 52
92056 OTH 79
93436 OTH 67
93304 HTD 123
92104 OTH 62
94124 CAN 72
92211 OTH 66
93702 INJ 36
94080 HTD 106
95242 INJ 23
90403 OTH 30
94301 OTH 35
93030 HTD 117
94401 OTH 48
92128 INJ 38
93292 CAN 51
92701 HTD 24
90301 HTD 73
94520 CAN 53
95824 CAN 41
93110 CAN 41
91306 HTD 67
90275 STK 31
90723 CAN 67
93901 CAN 43
95356 OTH 46
92660 OTH 38
92264 STK 25
95037 CAN 45
94526 HTD 43
92316 OTH 25
93111 CAN 41
96007 CAN 50
90232 HTD 33
91331 OTH 51
95818 HTD 62
95628 CAN 96
90241 STK 28
90004 CAN 70
96001 CLD 27
95030 OTH 23
95765 OTH 22
90250 CAN 81
95831 CLD 21
94534 CAN 50
90404 HTD 60
93110 STK 21
95757 OTH 35
91106 HTD 31
92780 HTD 73
90604 OTH 27
94533 STK 26
99999 PNF 36
92843 HTD 70
93705 CAN 54
93551 CAN 41
93940 CAN 70
90063 CAN 66
94066 CAN 64
91324 CAN 52
95355 HTD 124
95240 STK 25
90004 HTD 66
94117 CAN 44
93263 OTH 27
91784 HTD 45
90061 OTH 30
92020 HTD 118
95448 OTH 24
94541 CLD 23
92345 INJ 25
95608 CAN 137
92571 CAN 25
90011 HOM 30
95350 CAN 119
94611 OTH 57
91335 PNF 34
90638 STK 25
90035 HTD 97
95351 INJ 20
93442 HTD 38
95765 OTH 30
90034 CAN 50
92509 CLD 36
93940 HTD 81
95948 CAN 21
95210 OTH 60
92507 HTD 80
93312 STK 21
95482 CAN 64
92530 OTH 37
92345 HTD 165
95687 HTD 91
94960 CAN 27
91042 OTH 26
91702 OTH 43
94010 CLD 24
95111 OTH 25
90039 HTD 71
92544 CLD 34
91030 OTH 20
95660 INJ 24
92253 HTD 56
96019 OTH 24
95687 ALZ 36
92021 INJ 24
90062 HTD 100
93907 HTD 20
93458 OTH 29
92806 HTD 61
95123 OTH 67
90262 OTH 51
90802 HTD 84
94610 STK 25
95405 OTH 38
95678 CLD 21
90222 STK 23
95843 OTH 22
95762 HTD 21
91202 CAN 42
94086 STK 31
93446 CAN 87
90808 HTD 118
95453 OTH 36
93012 CAN 50
92586 CLD 46
95366 HTD 25
90241 OTH 56
94558 CAN 140
95336 CAN 74
93274 DIA 21
92109 HTD 91
95336 ALZ 22
94555 OTH 20
92307 HTD 80
93003 STK 30
92021 CAN 110
91902 HTD 32
92225 HTD 41
95608 ALZ 20
90003 OTH 59
90062 HTD 59
90016 HTD 92
95624 ALZ 24
92101 HTD 66
92118 CAN 40
92234 CAN 57
94571 HTD 31
92083 CLD 20
95833 HTD 34
92780 HTD 71
92116 CAN 44
93063 STK 23
90670 CAN 29
94134 CAN 62
91001 OTH 38
90260 HTD 45
92122 HTD 66
92530 CAN 50
93060 HTD 33
92704 HTD 76
92054 CAN 70
90745 HTD 112
95660 CAN 66
92008 CAN 79
91606 HTD 82
90606 HTD 68
94606 OTH 52
90255 OTH 44
91011 HTD 46
90220 CAN 76
95215 CAN 49
94070 HTD 59
95023 OTH 36
91748 CAN 42
95122 OTH 37
92083 INJ 21
92395 CAN 78
92083 HTD 55
91755 OTH 29
92672 HTD 92
95816 CAN 29
91387 CAN 35
94520 HTD 50
93704 HTD 60
94602 HTD 50
95403 STK 41
94080 CLD 24
92026 CAN 114
95616 OTH 43
93280 HTD 28
95815 HTD 44
92691 HTD 111
94803 HTD 40
95472 ALZ 20
95691 CAN 62
93314 HTD 27
91350 HTD 34
92260 ALZ 23
90670 CAN 33
92105 CAN 76
91350 CAN 42
92663 HTD 48
94134 OTH 51
91803 CAN 41
95603 OTH 82
92651 HTD 53
90037 HTD 85
92879 CAN 49
93101 HTD 62
95667 OTH 76
95713 HTD 20
93614 OTH 22
91205 HTD 96
96007 HTD 86
92301 CAN 21
95991 HTD 92
94533 STK 50
90024 HTD 63
91340 CAN 33
92026 HTD 108
91016 OTH 41
93422 OTH 44
93060 OTH 38
90062 CAN 58
