State Measure ID Score
NM HAI_2_CI_UPPER 1.228
NV HAI_2_CI_UPPER 0.828
NY HAI_2_CI_UPPER 1.172
OH HAI_2_CI_UPPER 0.893
OK HAI_2_CI_UPPER 1.032
OR HAI_2_CI_UPPER 1.107
PA HAI_2_CI_UPPER 1.080
PR HAI_2_CI_UPPER 0.723
RI HAI_2_CI_UPPER 1.438
SC HAI_2_CI_UPPER 1.300
SD HAI_2_CI_UPPER 1.385
TN HAI_2_CI_UPPER 0.970
TX HAI_2_CI_UPPER 0.924
UT HAI_2_CI_UPPER 1.589
VA HAI_2_CI_UPPER 1.094
VI HAI_2_CI_UPPER 6.267
VT HAI_2_CI_UPPER 1.236
WA HAI_2_CI_UPPER 1.127
WI HAI_2_CI_UPPER 0.984
WV HAI_2_CI_UPPER 0.799
WY HAI_2_CI_UPPER 0.627
AK HAI_2_CI_LOWER 0.844
AL HAI_2_CI_LOWER 0.771
AR HAI_2_CI_LOWER 1.017
AZ HAI_2_CI_LOWER 0.814
CA HAI_2_CI_LOWER 1.080
CO HAI_2_CI_LOWER 0.824
CT HAI_2_CI_LOWER 0.881
DC HAI_2_CI_LOWER 0.998
DE HAI_2_CI_LOWER 0.680
FL HAI_2_CI_LOWER 0.861
GA HAI_2_CI_LOWER 1.035
GU HAI_2_CI_LOWER -
HI HAI_2_CI_LOWER 0.547
IA HAI_2_CI_LOWER 0.899
ID HAI_2_CI_LOWER 0.667
IL HAI_2_CI_LOWER 0.828
IN HAI_2_CI_LOWER 0.893
KS HAI_2_CI_LOWER 0.770
KY HAI_2_CI_LOWER 0.820
LA HAI_2_CI_LOWER 0.931
MA HAI_2_CI_LOWER 1.008
MD HAI_2_CI_LOWER 0.899
ME HAI_2_CI_LOWER 0.843
MI HAI_2_CI_LOWER 0.930
MN HAI_2_CI_LOWER 0.906
MO HAI_2_CI_LOWER 0.849
MS HAI_2_CI_LOWER 0.740
MT HAI_2_CI_LOWER 0.813
NC HAI_2_CI_LOWER 0.868
ND HAI_2_CI_LOWER 0.666
NE HAI_2_CI_LOWER 0.791
NH HAI_2_CI_LOWER 0.654
NJ HAI_2_CI_LOWER 1.062
NM HAI_2_CI_LOWER 0.868
NV HAI_2_CI_LOWER 0.612
NY HAI_2_CI_LOWER 1.071
OH HAI_2_CI_LOWER 0.781
OK HAI_2_CI_LOWER 0.829
OR HAI_2_CI_LOWER 0.827
PA HAI_2_CI_LOWER 0.966
PR HAI_2_CI_LOWER 0.417
RI HAI_2_CI_LOWER 0.924
SC HAI_2_CI_LOWER 1.067
SD HAI_2_CI_LOWER 0.785
TN HAI_2_CI_LOWER 0.827
TX HAI_2_CI_LOWER 0.837
UT HAI_2_CI_LOWER 1.187
VA HAI_2_CI_LOWER 0.919
VI HAI_2_CI_LOWER 2.178
VT HAI_2_CI_LOWER 0.595
WA HAI_2_CI_LOWER 0.919
WI HAI_2_CI_LOWER 0.785
WV HAI_2_CI_LOWER 0.583
WY HAI_2_CI_LOWER 0.104
AK HAI_3_SIR 1.250
AL HAI_3_SIR 0.816
AR HAI_3_SIR 0.848
AZ HAI_3_SIR 1.183
CA HAI_3_SIR 1.035
CO HAI_3_SIR 1.108
CT HAI_3_SIR 1.062
DC HAI_3_SIR 0.647
DE HAI_3_SIR 1.441
FL HAI_3_SIR 0.934
GA HAI_3_SIR 1.230
HI HAI_3_SIR 0.774
IA HAI_3_SIR 1.228
ID HAI_3_SIR 1.231
IL HAI_3_SIR 0.972
IN HAI_3_SIR 0.981
KS HAI_3_SIR 1.297
KY HAI_3_SIR 0.951
LA HAI_3_SIR 0.944
MA HAI_3_SIR 0.982
MD HAI_3_SIR 1.068
ME HAI_3_SIR 1.324
MI HAI_3_SIR 0.996
MN HAI_3_SIR 1.121
MO HAI_3_SIR 0.833
MS HAI_3_SIR 0.897
MT HAI_3_SIR 0.658
NC HAI_3_SIR 0.834
ND HAI_3_SIR 0.955
NE HAI_3_SIR 0.941
NH HAI_3_SIR 0.952
NJ HAI_3_SIR 0.756
NM HAI_3_SIR 1.407
NV HAI_3_SIR 1.143
NY HAI_3_SIR 1.217
OH HAI_3_SIR 0.929
OK HAI_3_SIR 0.812
OR HAI_3_SIR 0.665
PA HAI_3_SIR 0.927
RI HAI_3_SIR 1.068
SC HAI_3_SIR 0.941
SD HAI_3_SIR 1.554
TN HAI_3_SIR 0.831
TX HAI_3_SIR 0.922
UT HAI_3_SIR 0.938
VA HAI_3_SIR 1.095
VI HAI_3_SIR 1.174
VT HAI_3_SIR 1.951
WA HAI_3_SIR 0.923
WI HAI_3_SIR 0.877
WV HAI_3_SIR 1.378
WY HAI_3_SIR 0.638
AK HAI_3_CI_UPPER 1.846
AL HAI_3_CI_UPPER 0.963
AR HAI_3_CI_UPPER 1.066
AZ HAI_3_CI_UPPER 1.355
CA HAI_3_CI_UPPER 1.111
CO HAI_3_CI_UPPER 1.302
CT HAI_3_CI_UPPER 1.285
DC HAI_3_CI_UPPER 0.991
DE HAI_3_CI_UPPER 1.911
FL HAI_3_CI_UPPER 1.015
GA HAI_3_CI_UPPER 1.369
HI HAI_3_CI_UPPER 1.174
IA HAI_3_CI_UPPER 1.491
ID HAI_3_CI_UPPER 1.643
IL HAI_3_CI_UPPER 1.088
IN HAI_3_CI_UPPER 1.132
KS HAI_3_CI_UPPER 1.574
KY HAI_3_CI_UPPER 1.124
LA HAI_3_CI_UPPER 1.120
MA HAI_3_CI_UPPER 1.139
MD HAI_3_CI_UPPER 1.250
ME HAI_3_CI_UPPER 1.718
MI HAI_3_CI_UPPER 1.116
MN HAI_3_CI_UPPER 1.308
MO HAI_3_CI_UPPER 0.966
MS HAI_3_CI_UPPER 1.122
MT HAI_3_CI_UPPER 1.045
NC HAI_3_CI_UPPER 0.948
ND HAI_3_CI_UPPER 1.434
NE HAI_3_CI_UPPER 1.248
NH HAI_3_CI_UPPER 1.315
NJ HAI_3_CI_UPPER 0.881
NM HAI_3_CI_UPPER 1.860
NV HAI_3_CI_UPPER 1.416
NY HAI_3_CI_UPPER 1.324
OH HAI_3_CI_UPPER 1.029
OK HAI_3_CI_UPPER 0.990
OR HAI_3_CI_UPPER 0.840
PA HAI_3_CI_UPPER 1.024
RI HAI_3_CI_UPPER 1.523
SC HAI_3_CI_UPPER 1.117
SD HAI_3_CI_UPPER 2.119
TN HAI_3_CI_UPPER 0.961
TX HAI_3_CI_UPPER 1.001
UT HAI_3_CI_UPPER 1.220
VA HAI_3_CI_UPPER 1.248
VI HAI_3_CI_UPPER 3.878
VT HAI_3_CI_UPPER 2.881
WA HAI_3_CI_UPPER 1.092
WI HAI_3_CI_UPPER 1.036
WV HAI_3_CI_UPPER 1.708
WY HAI_3_CI_UPPER 1.415
AK HAI_3_CI_LOWER 0.811
AL HAI_3_CI_LOWER 0.686
AR HAI_3_CI_LOWER 0.665
AZ HAI_3_CI_LOWER 1.028
CA HAI_3_CI_LOWER 0.963
CO HAI_3_CI_LOWER 0.936
CT HAI_3_CI_LOWER 0.870
DC HAI_3_CI_LOWER 0.401
